,Scout Name,Match Number,Dead,No Show,Team Number,Cross Auto,Switch Auto,Scale Auto,Auto Other,Tele-Switch,Tele-Scale,Tele-Portal,Tele-Switch-#,Tele-Scale-#,Tele-Portal-#,Climb-True,Tech-fouls,Attempted,Penalties,Climb-No
H3_ (22).pdf,Azalia,27,FALSE,FALSE,180,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,1,4,3,FALSE,,FALSE,,TRUE
H3_ (23).pdf,Azalia,28,FALSE,FALSE,1876,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,1,4,0,TRUE,,FALSE,,FALSE
H3_ (24).pdf,Azalia,29,FALSE,FALSE,348,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,5,0,0,FALSE,,FALSE,,TRUE
H3_ (25).pdf,Azalia,30,FALSE,FALSE,5472,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,3,7,FALSE,,FALSE,,TRUE
H3_ (26).pdf,Gaby,31,FALSE,FALSE,6722,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,3,0,9,FALSE,,FALSE,,TRUE
H3_ (27).pdf,Gaby,33,FALSE,FALSE,179,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,0,7,0,TRUE,,FALSE,,FALSE
H3_ (28).pdf,Gaby,45,FALSE,FALSE,7215,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,3,0,FALSE,,TRUE,,TRUE
H3_ (29).pdf,Gaby,46,FALSE,FALSE,59,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,0,5,0,FALSE,,FALSE,,TRUE
H3_ (3).pdf,Joey,3,FALSE,FALSE,6686,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H3_ (30).pdf,Hunter,47,FALSE,FALSE,2152,TRUE,FALSE,FALSE,Stuff hanging off bot,FALSE,TRUE,FALSE,0,1,0,FALSE,,FALSE,,TRUE
H3_ (31).pdf,Hunter,48,FALSE,FALSE,4533,FALSE,TRUE,FALSE,One side motors died,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H3_ (32).pdf,,50,FALSE,FALSE,4471,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,5,FALSE,,FALSE,,TRUE
H3_ (33).pdf,,51,FALSE,FALSE,5872,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,4,TRUE,,FALSE,,FALSE
H3_ (34).pdf,Michael,52,FALSE,FALSE,6722,FALSE,FALSE,FALSE,Thinking with portals,TRUE,FALSE,TRUE,1,0,6,FALSE,,FALSE,,TRUE
H3_ (35).pdf,,53,FALSE,FALSE,1523,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,3,0,8,FALSE,,FALSE,,TRUE
H3_ (36).pdf,Michael,54,FALSE,FALSE,5283,TRUE,FALSE,FALSE,Y- y you bully me,TRUE,FALSE,FALSE,3,0,0,FALSE,,FALSE,,TRUE
H3_ (37).pdf,Michael,55,FALSE,FALSE,2797,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,1,5,0,FALSE,,FALSE,,TRUE
H3_ (38).pdf,Michael,56,FALSE,FALSE,1065,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE,0,6,0,FALSE,,FALSE,,TRUE
H3_ (39).pdf,Michael,57,FALSE,FALSE,7231,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,3,FALSE,,FALSE,,TRUE
H3_ (4).pdf,Joey,4,FALSE,FALSE,6722,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,3,5,0,TRUE,,FALSE,,FALSE
H3_ (40).pdf,Michael,58,FALSE,FALSE,5773,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,4,FALSE,,FALSE,,TRUE
H3_ (41).pdf,Michael,59,FALSE,FALSE,179,TRUE,FALSE,FALSE,"Caught between robot

Y-y you bully me?",TRUE,TRUE,FALSE,3,1,0,FALSE,,FALSE,,TRUE
H3_ (42).pdf,Michael,60,FALSE,FALSE,5283,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,3,0,0,FALSE,,FALSE,,TRUE
H3_ (43).pdf,Michael,61,FALSE,FALSE,2152,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,4,1,FALSE,,FALSE,,TRUE
H3_ (44).pdf,Michael,62,FALSE,FALSE,21,TRUE,TRUE,FALSE,,FALSE,TRUE,FALSE,0,3,0,TRUE,,FALSE,,FALSE
H3_ (45).pdf,Michael,63,FALSE,FALSE,6225,TRUE,FALSE,FALSE,Nothing,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H3_ (46).pdf,Michael,64,FALSE,FALSE,59,TRUE,FALSE,TRUE,God bot,TRUE,TRUE,FALSE,3,3,0,TRUE,,FALSE,,FALSE
,,,,,,,,,,,,,,,,,,,,
H3_ (5).pdf,Joey,5,FALSE,FALSE,7216,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,TRUE,1,TRUE
